productId,product_name,price,sale_price,Code
DB-SG-G01,Medicine,24.99,19.99,A
DC-SG-G02,Charger,39.99,24.99,B
FS-SG-G03,Video Game,24.99,16.99,C
WC-SH-G04,French Cheese,24.99,19.99,D
WC-SH-T02,Swiss Cheese Tee,9.99,6.99,E
PZ-SG-G05,Milk,4.99,1.99,F
CU-PG-G06,Chicken,19.99,16.99,G
MB-AG-G07,Beef,39.99,24.99,H
MB-AG-T01,Nuggets,9.99,6.99,I
FI-AG-G08,HeadPhones,139.99,124.99,J
BS-AG-G09,Pyjamas,24.99,19.99,K
SC-MG-G10,Shirt,19.99,16.99,L
WC-SH-A01,Stickers,5.99,2.99,M
WC-SH-A02,Pencils - Pack of 10,3.99,1.99,N
SF-BVS-G01,Double Cream x5,26.99,21.99,O 
SF-BVS-01,Special Flowers,49.99,41.99,P

