pci_3,description
"P01.01.01","A formal process for approving and testing all network connections and changes to the firewall and router configuration"
"P01.01.02","Current network diagram that identifies all connections between the cardholder data environment and other networks, including any wireless networks"
"P01.01.03","Current diagram that shows all cardholder data flows across systems and network"
"P01.01.04","Requirements for a firewall at each Internet connection and between any demilitarized zone"
"P01.01.05","Description of groups, roles, and responsibilities for management of network components"
"P01.01.06","Documentation and business justification for use of all services, protocols, and ports allowed, including documentation for security features implemented for those protocols considered to be insecure"
"P01.01.07","Requirement to review firewall and router rule sets at least every six month"
"P01.02.01","Restrict inbound and outbound traffic to that which is necessary for the cardholder data environment, and specifically deny all other traffic"
"P01.02.02","Secure and synchronize router configuration files"
"P01.02.03","Install perimeter firewalls between any all wireless networks and the cardholder data environment, and configure these firewalls to deny or, control"
"P01.03.01","Implement a DMZ to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports"
"P01.03.02","Limit inbound Internet traffic to IP addresses within the DM"
"P01.03.03","Do not allow any direct connections inbound or outbound for traffic between the Internet and the cardholder data environment"
"P01.03.04","Implement anti-spoofing measures to detect and block forged source IP addresses from entering the network"
"P01.03.05","Do not allow unauthorized outbound traffic from the cardholder data environment to the Internet"
"P01.03.06","Implement stateful inspection, also known as dynamic packet filtering"
"P01.03.07","Place system components that store cardholder data"
"P01.03.08","Do not disclose private IP addresses and routing information to unauthorized parties"
"P02.01.01","For wireless environments connected to the cardholder data environment or transmitting cardholder data, change wireless vendor defaults, including but not limited to default wireless encryption keys, passwords, and SNMP community strings"
"P02.02.01","Implement only one primary function per server to prevent functions that require different security levels from co-existing on the same server"
"P02.02.02","Enable only necessary services,  protocols, daemons, etc., as required for the function of the system"
"P02.02.03","Implement additional security features for any required services, protocols, or daemons that are considered to be insecure—for example, use secured technologies such as SSH, S-FTP, SSL, or IPSec VPN to protect insecure services such as NetBIOS, file-sharing, Telnet, FTP, etc"
"P02.02.04","Configure system security parameters to prevent misuse"
"P02.02.05","Remove all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers"
"P03.02.01","Do not store the full contents of any track"
"P03.02.02","Do not store the card verification code or value"
"P03.02.03","Do not store the personal identification numbers"
"P03.04.01","If disk encryption is used"
"P03.05.01","Restrict access to cryptographic keys to the fewest number of custodians necessary"
"P03.05.02","Store secret and private keys used to encrypt/decrypt cardholder data in one"
"P03.05.03","Store cryptographic keys in the fewest possible location"
"P03.06.01","Generation of strong cryptographic key"
"P03.06.02","Secure cryptographic key distribution"
"P03.06.03","Secure cryptographic key storage"
"P03.06.04","Cryptographic key changes for keys that have reached the end of their crypto periods"
"P03.06.05","Retirement or replacement"
"P03.06.06","If manual clear-text cryptographic key-management operations are used, these operations must be managed using split knowledge and dual control"
"P03.06.07","Prevention of unauthorized substitution of cryptographic key"
"P03.06.08","Requirement for cryptographic key custodians to formally acknowledge that they understand and accept their key-custodian responsibilities"
"P04.01.01","Ensure wireless networks transmitting cardholder data or connected to the cardholder data environment,  use industry best practices"
"P05.01.01","Ensure that all anti-virus programs are capable of detecting, removing, and protecting against all known types of malicious software"
"P05.01.02","For systems considered to be not commonly affected by malicious software, perform periodic evaluations to identify and evaluate evolving malware threats in order to confirm"
"P06.03.01","Remove development, test and/or custom application accounts, user IDs, and passwords before applications become active or are released to customers"
"P06.03.02","Review custom code prior to release to production or customers in order to identify any potential coding vulnerability"
"P06.04.01","Separate development/test environments from production environments, and enforce the separation with access controls"
"P06.04.02","Separation of duties between development/test and production"
"P06.04.03","Production data"
"P06.04.04","Removal of test data and accounts before production systems become active"
"P06.04.05","Change control procedures for the implementation of security patches and software modifications must include the following"
"P06.05.01","Injection flaws, particularly SQL injection.  Also consider OS Command Injection, LDAP and XpPath injection flaws as well as other injection flaws"
"P06.05.02","Buffer overflow"
"P06.05.03","Insecure cryptographic storage"
"P06.05.04","Insecure communication"
"P06.05.05","Improper error handling"
"P06.05.06","All “high risk” vulnerabilities identified in the vulnerability identification process"
"P06.05.07","Cross-site scripting"
"P06.05.08","Improper Access Control"
"P06.05.09","Cross-site request forgery"
"P06.05.10","Broken authentication and session management"
"P07.01.01","Define access needs for each role, including:; System components and data resources that each role needs to access for their job function ; Level of privilege required"
"P07.01.02","Restrict access to privileged user IDs to least privileges"
"P07.01.03","Assign access based on individual personnels job"
"P07.01.04","Require documented approval by authorized parties"
"P07.02.01","Coverage of all system component"
"P07.02.02","Assignment of privileges to individuals based on job classification and function"
"P07.02.03","Default “deny-all” setting"
"P08.01.01","Assign all users a unique ID before allowing them to access system components or cardholder data"
"P08.01.02","Control addition, deletion, and modification of user IDs, credentials, and other identifier objects"
"P08.01.03","Immediately revoke access for any terminated user"
"P08.01.04","Remove/disable inactive user accounts at least every 90 days"
"P08.01.05","Manage IDs used by vendors to access, support, or maintain system components via remote access as"
"P08.01.06","Limit repeated access attempts by locking out the user ID after not more than six attempt"
"P08.01.07","Set the lockout duration to a minimum of 30 minutes or until an administrator enables the user"
"P08.01.08","If a session has been idle for more than 15 minutes, require the user to re-authenticate to re-activate"
"P08.02.01","Using strong cryptography, render all authentication credentials"
"P08.02.02","Verify user identity before modifying any authentication"
"P08.02.03","Passwords/phrases must meet the following:; Require a minimum length of at least seven characters.; Contain both numeric and alphabetic character"
"P08.02.04","Change user passwords/passphrases at least every 90 day"
"P08.02.05","Do not allow an individual to submit a new password/phrase that is the same as any of the last four passwords/phrases he or she has used"
"P08.02.06","Set passwords/phrases for first time use and upon reset to a unique value for each user, and change immediately after the first use"
"P08.05.01","Additional requirement for service providers: Service providers with remote access to customer premises"
"P09.01.01","Use video cameras and/or access control mechanisms to monitor individual physical access to sensitive areas. Review collected data and correlate with other entries. Store for at least three months, unless otherwise restricted by law"
"P09.01.02","Implement physical and/or logical controls to restrict access to publicly accessible network jacks.  For example, network jacks located in public areas and areas accessible to visitors could be disabled and only enabled when network access is explicitly authorized. Alternatively, processes could be implemented to ensure that visitors are escorted at all times in n areas with active network jacks.  For example, areas accessible to visitors should not have network ports enabled unless network access is specifically authorized"
"P09.01.03","Restrict physical access to wireless access points, gateways, handheld devices, networking/communications hardware, and telecommunications lines"
"P09.04.01","Visitors are authorized before entering, and escorted at all times within, areas where cardholder data is processed or maintained"
"P09.04.02","Visitors are identified and given a badge or other identification that expires and that visibly distinguishe"
"P09.04.03","Visitors are asked to surrender the badge or identification before leaving the facility or at the date of"
"P09.04.04","A visitor log is used to maintain a physical audit trail of visitor activity to the facility as well as computer rooms"
