productId,product_name,price,sale_price,Code
DB-SG-G01,Mediocre Kingdoms,24.99,19.99,A
DC-SG-G02,Dream Crusher,39.99,24.99,B
FS-SG-G03,Final Sequel,24.99,16.99,C
WC-SH-G04,World of Cheese,24.99,19.99,D
WC-SH-T02,World of Cheese Tee,9.99,6.99,E
PZ-SG-G05,Puppies vs. Zombies,4.99,1.99,F
CU-PG-G06,Curling 2014,19.99,16.99,G
MB-AG-G07,Manganiello Bros.,39.99,24.99,H
MB-AG-T01,Manganiello Bros. Tee,9.99,6.99,I
FI-AG-G08,Orvil the Wolverine,39.99,24.99,J
BS-AG-G09,Benign Space Debris,24.99,19.99,K
SC-MG-G10,SIM Cubicle,19.99,16.99,L
WC-SH-A01,Holy Blade of Gouda,5.99,2.99,M
WC-SH-A02,Fire Resistance Suit of Provolone,3.99,1.99,N
SF-BVS-G01,Grand Theft Scooter,26.99,21.99,O 
SF-BVS-01,Pony Run,49.99,41.99,P

