id,group,cis_summary,mitigation
1.1,IAM,Ensure that corporate login credentials are used,Cloud User Access Uses Gmail
1.2,IAM,Enforce Bucket Policy Only,Cloud User Accounts Without MFA
1.3,IAM,Ensure that Security Key Enforcement is enabled for all admin accounts,
1.4,IAM,Ensure that there are only GCP-managed service account keys for each service account,Cloud Account With User-managed API Credentials 
1.5,IAM,Ensure that Service Account has no Admin privileges,Google Service Account With Admin Privileges
1.6,IAM,Ensure that IAM users are not assigned the Service Account User or Service Account Token Creator roles at project level,
1.7,IAM,Ensure user-managed/external keys for service accounts are rotated every 90 days or less,API Key Inactive
1.8,IAM,Ensure that Separation of duties is enforced while assigning service account related roles to users,
1.9,IAM,Ensure that Cloud KMS cryptokeys are not anonymously or publicly accessible,
1.1,IAM,Ensure KMS encryption keys are rotated within a period of 90 days,
1.11,IAM,Ensure that Separation of duties is enforced while assigning KMS related roles to users,
1.12,IAM,Ensure API keys are not created for a project,Does not appear to be a way to pull these keys
1.13,IAM,Ensure API keys are restricted to use by only specified Hosts and Apps,Does not appear to be a way to pull these keys
1.14,IAM,Ensure API keys are restricted to only APIs that application needs access,Does not appear to be a way to pull these keys
1.15,IAM,Ensure API keys are rotated every 90 days,Does not appear to be a way to pull these keys
2.1,LM,Ensure that Cloud Audit Logging is configured properly across all services and all users from a project,
2.2,LM,Ensure that sinks are configured for all log entries,
2.3,LM,Ensure that retention policies on log buckets are configured using Bucket Lock,
2.4,LM,Ensure log metric filter and alerts exist for project ownership assignments/changes,Cloud Account Missing Log Metric Filter And Alerts For Project Ownership Assignments/Changes
2.5,LM,Ensure that the log metric filter and alerts exist for Audit Configuration changes,Cloud Account Missing Log Metric Filter And Alerts For Audit Configuration Changes
2.6,LM,Ensure that the log metric filter and alerts exist for Custom Role changes,Cloud Account Missing Log Metric Filter And Alerts For Custom Role Changes
2.7,LM,Ensure that the log metric filter and alerts exist for VPC Network Firewall rule changes,Cloud Account Missing Log Metric Filter And Alerts For VPC Network Firewall Rule Changes
2.8,LM,Ensure that the log metric filter and alerts exist for VPC network route changes,Cloud Account Missing Log Metric Filter And Alerts For VPC Network Route Changes
2.9,LM,Ensure that the log metric filter and alerts exist for VPC network changes,Cloud Account Missing Log Metric Filter And Alerts For VPC Network Changes
2.1,LM,Ensure that the log metric filter and alerts exist for Cloud Storage IAM permission changes,Cloud Account Missing Log Metric Filter And Alerts For Cloud Storage IAM Permission Changes
2.11,LM,Ensure that the log metric filter and alerts exist for SQL instance configuration changes,Cloud Account Missing Log Metric Filter And Alerts For SQL Instance Configuration Changes
3.1,Networks,Ensure that the default network does not exist in a project,Network In Project Default Type
3.2,Networks,Ensure legacy networks do not exist for a project,Network In Project Legacy Type
3.3,Networks,Ensure that DNSSEC is enabled for Cloud DNS,DNSSEC is not enabled for Cloud Zone
3.4,Networks,Ensure that RSASHA1 is not used for the key-signing key in Cloud DNS DNSSEC,DNS Zone With Weak Key Signing Algorithm
3.5,Networks,Ensure that RSASHA1 is not used for the zone-signing key in Cloud DNS DNSSEC,DNS Zone With Weak Zone Signing Algorithm
3.6,Networks,Ensure that SSH access is restricted from the internet,Access List Exposes SSH To World
3.7,Networks,Ensure that RDP access is restricted from the Internet,Access List Exposes Windows RDP To World
3.8,Networks,Ensure that VPC Flow Logs is enabled for every subnet in a VPC Network,Network Missing Subnet Flow Logs
3.9,Networks,Ensure no HTTPS or SSL proxy load balancers permit SSL policies with weak cipher suites,
4.1,Vm,Ensure that instances are not configured to use the default service account,Instance not configured to use Default Service Account
4.2,Vm,Ensure that instances are not configured to use the default service account with full access to all Cloud APIs,
4.3,Vm,"Ensure ""Block Project-wide SSH keys"" is enabled for VM instances",Instance with Project-wide SSH keys enabled
4.4,Vm,Ensure oslogin is enabled for a Project,Cloud Account Without OS Login Enabled
4.5,Vm,Ensure 'Enable connecting to serial ports' is not enabled for VM Instance,Instance with Connecting to Serial Ports Enabled
4.6,Vm,Ensure that IP forwarding is not enabled on Instances,Instance With IP Forwarding Enabled
